Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
7515,7515,0,-6,-50171,-121090,0,-384519,-253735,0,76,-25
7516,7516,0,0,-92699,-92664,0,-387025,-253735,0,77,-9
7517,7517,0,7,-121109,50123,0,-390627,-259138,0,78,2
7518,7518,0,19,-131072,0,0,-391941,-260452,0,79,37
7519,7519,0,0,-121090,50170,0,-390657,-259596,0,80,-22
7520,7520,0,22,-92664,92698,0,-388461,-257400,0,81,28
7521,7521,0,10,50123,121108,0,-384783,-254948,0,82,-70
7522,7522,0,9,0,131071,0,-382973,-252233,0,83,-78
7523,7523,0,-1,50170,121089,0,-381899,-251517,0,84,24
7524,7524,0,4,92698,92663,0,-382235,-252021,0,85,-143
7525,7525,0,6,121108,-50124,0,-382736,-253524,0,86,12
7526,7526,0,8,131071,-1,0,-383902,-255273,0,87,-112
7527,7527,0,16,121089,-50171,0,-384816,-257101,0,88,-52
7528,7528,0,15,92663,-92699,0,-385042,-258005,0,89,-43
7529,7529,0,-1,-50124,-121109,0,-385030,-257997,0,90,-66
7530,7530,0,8,-1,-131072,0,-384871,-257520,0,91,15
7531,7531,0,3,-50171,-121090,0,-384653,-257084,0,92,8
7532,7532,0,12,-92699,-92664,0,-384059,-256490,0,93,4
7533,7533,0,16,-121109,50123,0,-383783,-256352,0,94,-11
7534,7534,0,18,-131072,0,0,-383561,-256130,0,95,26
7535,7535,0,-3,-121090,50170,1,-383503,-256043,0,96,79
7536,7536,0,3,-92664,92698,0,-383416,-255956,0,97,137
7537,7537,0,-4,50123,121108,0,-383268,-255882,0,98,41
7538,7538,0,12,0,131071,0,-382854,-255468,0,-311451431,-3
7539,7539,0,8,50170,121089,0,-382458,-254874,0,110205997,-50
7540,7540,0,-13,92698,92663,0,-381804,-254002,0,-138712917,-89
7541,7541,0,3,121108,-50124,0,-381327,-253525,0,-7190999,-43
7542,7542,0,10,131071,-1,0,-381319,-253517,0,59571580,-85
7543,7543,0,12,121089,-50171,0,-381545,-254195,0,26060737,-83
7544,7544,0,9,92663,-92699,0,-382916,-255109,0,9288980,-136
7545,7545,0,5,-50124,-121109,0,-384665,-256858,0,901055,-114
7546,7546,0,6,-1,-131072,0,-386168,-257359,0,5095273,-38
7547,7547,0,6,-50171,-121090,0,-386672,-257863,0,2998132,-129
7548,7548,0,12,-92699,-92664,0,-386314,-256789,0,4046706,-30
7549,7549,0,7,-121109,50123,0,-383599,-254979,0,4570993,-59
7550,7550,0,22,-131072,0,0,-379921,-253753,0,4833136,15
7551,7551,0,12,-121090,50170,0,-376627,-250459,0,4702065,55
7552,7552,0,19,-92664,92698,0,-375343,-249603,0,4636530,0
7553,7553,0,17,50123,121108,0,-376657,-250917,0,4603763,44
7554,7554,0,2,0,131071,0,-380259,-254519,0,4587380,-8
7555,7555,0,-3,50170,121089,0,-385271,-262037,0,4579189,92
7556,7556,0,1,92698,92663,0,-387587,-264353,0,4583284,-5
7557,7557,0,8,121108,-50124,0,-390665,-267431,0,4585331,-13
7558,7558,0,-2,131071,-1,0,-388365,-265131,0,4586354,-12
7559,7559,0,3,121089,-50171,0,-377721,-254487,0,4586865,-106
7560,7560,0,8,92663,-92699,0,-362145,-238911,0,4587120,71
7561,7561,0,-4,-50124,-121109,0,-351997,-228763,0,4587247,-115
7562,7562,0,8,-1,-131072,0,-349479,-228763,0,4587310,20
7563,7563,0,18,-50171,-121090,0,-354537,-233821,0,4587341,-130
7564,7564,0,-1,-92699,-92664,0,-382641,-261925,0,4587356,3
7565,7565,0,11,-121109,50123,0,-432645,-278593,0,4587363,-94
7566,7566,0,8,-131072,0,0,-478241,-346987,0,4587367,-47
7567,7567,0,10,-121090,50170,0,-557129,-373283,0,4587369,27
7568,7568,0,0,-92664,92698,0,-609721,-425875,1,4587370,-53
7569,7569,0,11,50123,121108,0,-700913,-471471,0,2,36
7570,7570,0,-4,0,131071,0,-767585,-504807,0,3,-5
7571,7571,0,16,50170,121089,0,-786321,-532911,0,4,-48
7572,7572,0,21,92698,92663,0,-793908,-540498,0,5,110
7573,7573,0,6,121108,-50124,0,-791390,-535462,0,6,-48
7574,7574,0,0,131071,-1,0,-781242,-525314,0,7,75
7575,7575,0,-4,121089,-50171,0,-770858,-514930,0,8,-22
7576,7576,0,0,92663,-92699,0,-763762,-507834,0,9,-33
7577,7577,0,9,-50124,-121109,0,-760312,-504384,0,10,47
7578,7578,0,10,-1,-131072,0,-763390,-507462,0,11,-7
7579,7579,0,8,-50171,-121090,0,-768022,-509778,0,12,-3
7580,7580,0,-1,-92699,-92664,0,-770528,-509778,0,13,-152
7581,7581,0,13,-121109,50123,0,-774130,-515181,0,14,11
7582,7582,0,2,-131072,0,0,-775444,-516495,0,15,-89
7583,7583,0,-3,-121090,50170,0,-774160,-515639,0,16,181
7584,7584,0,4,-92664,92698,0,-771964,-513443,0,17,-93
7585,7585,0,1,50123,121108,0,-768286,-510991,0,18,-114
7586,7586,0,3,0,131071,0,-766476,-508276,0,19,-71
7587,7587,0,7,50170,121089,0,-765402,-507560,0,20,-98
7588,7588,0,9,92698,92663,0,-765738,-508064,0,21,73
7589,7589,0,-5,121108,-50124,0,-766239,-509567,0,22,-86
7590,7590,0,23,131071,-1,0,-767405,-511316,0,23,21
7591,7591,0,19,121089,-50171,0,-768319,-513144,0,24,-28
7592,7592,0,7,92663,-92699,0,-768545,-514048,0,25,19
7593,7593,0,5,-50124,-121109,0,-768533,-514040,0,26,36
7594,7594,0,-4,-1,-131072,0,-768374,-513563,0,27,-4
7595,7595,0,0,-50171,-121090,0,-768156,-513127,0,28,-2
7596,7596,0,3,-92699,-92664,0,-767562,-512533,0,29,15
7597,7597,0,3,-121109,50123,0,-767286,-512395,0,30,-36
7598,7598,0,-4,-131072,0,0,-767064,-512173,0,31,51
7599,7599,0,20,-121090,50170,0,-767006,-512086,0,32,-195
7600,7600,0,13,-92664,92698,0,58,29,0,33,45
7601,7601,0,2,50123,121108,0,280,251,0,34,-92
7602,7602,0,-1,0,131071,0,556,665,0,35,-20
7603,7603,0,12,50170,121089,0,1150,1457,0,36,55
7604,7604,0,-4,92698,92663,0,1804,2111,0,37,-137
7605,7605,0,17,121108,-50124,0,2122,2429,0,38,27
7606,7606,0,7,131071,-1,0,2126,2441,0,39,-178
7607,7607,0,-7,121089,-50171,0,1448,1989,0,40,44
7608,7608,0,13,92663,-92699,0,77,618,0,41,-116
7609,7609,0,9,-50124,-121109,0,-1672,35,0,42,6
7610,7610,0,3,-1,-131072,0,-3175,-1468,0,43,-28
7611,7611,0,8,-50171,-121090,0,-3343,-1972,0,44,-31
7612,7612,0,0,-92699,-92664,0,-2269,-1256,0,45,45
7613,7613,0,5,-121109,50123,0,446,-351,0,46,-87
7614,7614,0,30,-131072,0,0,4124,3327,0,47,73
7615,7615,0,-13,-121090,50170,0,7418,5523,0,48,31
7616,7616,0,10,-92664,92698,0,8274,6379,0,49,13
7617,7617,0,-13,50123,121108,0,6960,5065,0,50,-48
7618,7618,0,-3,0,131071,0,3358,-338,0,51,-114
7619,7619,0,13,50170,121089,0,852,-2844,0,52,30
7620,7620,0,4,92698,92663,0,-6096,-9792,0,53,-80
7621,7621,0,2,121108,-50124,0,-8148,-11844,0,54,-69
7622,7622,0,13,131071,-1,0,-4698,-8394,0,55,-102
7623,7623,0,6,121089,-50171,0,5946,2250,0,56,-194
7624,7624,0,11,92663,-92699,0,16330,12634,0,57,-20
7625,7625,0,11,-50124,-121109,0,21404,12634,0,58,-37
7626,7626,0,2,-1,-131072,0,26440,17670,0,59,125
7627,7627,0,1,-50171,-121090,0,18853,10083,0,60,-156
7628,7628,0,21,-92699,-92664,0,-9251,715,0,61,-67
7629,7629,0,10,-121109,50123,0,-42587,-49289,0,62,-84
7630,7630,0,9,-131072,0,0,-110981,-72087,0,63,88
7631,7631,0,7,-121090,50170,0,-163573,-124679,0,64,52
7632,7632,0,0,-92664,92698,0,-268757,-177271,0,65,-100
7633,7633,0,28,50123,121108,0,-359949,-222867,0,66,-81
7634,7634,0,18,0,131071,0,-393285,-272871,0,67,-90
7635,7635,0,3,50170,121089,0,-421389,-300975,0,68,94
7636,7636,0,8,92698,92663,0,-423918,-306033,0,69,-102
7637,7637,0,3,121108,-50124,0,-418882,-300997,0,70,-144
7638,7638,0,19,131071,-1,0,-408734,-290849,0,71,42
7639,7639,0,5,121089,-50171,0,-398350,-280465,0,72,-38
7640,7640,0,9,92663,-92699,0,-387706,-269821,0,73,60
7641,7641,0,3,-50124,-121109,0,-384256,-266371,0,74,-102
7642,7642,0,3,-1,-131072,0,-386308,-267397,0,75,-43
7643,7643,0,1,-50171,-121090,0,-388624,-267397,0,76,25
7644,7644,0,5,-92699,-92664,0,-393636,-274915,0,77,8
7645,7645,0,21,-121109,50123,0,-397238,-278517,0,78,-13
7646,7646,0,5,-131072,0,0,-399209,-279831,0,79,-168
7647,7647,0,12,-121090,50170,0,-398353,-278975,0,80,-25
7648,7648,0,-8,-92664,92698,0,-395059,-276779,0,81,5
7649,7649,0,3,50123,121108,0,-392607,-273101,0,82,-37
