Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_i[31:0],top_i/baseband_j[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
760,760,0,1,-18271,-69505
761,761,0,1,-32196,-78894
762,762,0,1,-45991,-78843
763,763,0,1,-55575,-68910
764,764,0,1,-58064,-50720
765,765,0,1,-52896,-27717
766,766,0,1,-42185,-4520
767,767,0,1,-30112,14009
768,768,0,1,-21487,23759
769,769,0,1,-20036,22385
770,770,0,1,-26967,9914
771,771,0,1,-40413,-11102
772,772,0,1,-56001,-36091
773,773,0,1,-68329,-59559
774,774,0,1,-72783,-76506
775,775,0,1,-67169,-83799
776,776,0,1,-52462,-81054
777,777,0,1,-32516,-70714
778,778,0,1,-12856,-57277
779,779,0,1,1130,-45778
780,780,0,1,5744,-40066
781,781,0,1,10,-41498
782,782,0,1,-14249,-48425
783,783,0,1,-33176,-56723
784,784,0,1,-52155,-61277
785,785,0,1,-67190,-57852
786,786,0,1,-75873,-44742
787,787,0,1,-77736,-23541
788,788,0,1,-74026,1134
789,789,0,1,-66985,22994
790,790,0,1,-58996,36056
791,791,0,1,-51909,36511
792,792,0,1,-46695,23931
793,793,0,1,-43509,1403
794,794,0,1,-41977,-25456
795,795,0,1,-41607,-50179
796,796,0,1,-42151,-67325
797,797,0,1,-43713,-73951
798,798,0,1,-46652,-70225
799,799,0,1,-51298,-59068
800,800,0,1,-57687,-45022
801,801,0,1,-65371,-32745
802,802,0,1,-73384,-25667
803,803,0,1,-80420,-25134
804,804,0,1,-85100,-30315
805,805,0,1,-86334,-38874
806,806,0,1,-83517,-47913
807,807,0,1,-76607,-55047
808,808,0,1,-66110,-59178
809,809,0,1,-52909,-60574
810,810,0,1,-38110,-60595
811,811,0,1,-22933,-60848
812,812,0,1,-8691,-62421
813,813,0,1,3204,-65355
814,814,0,1,11329,-68598
815,815,0,1,14427,-70475
816,816,0,1,11729,-69470
817,817,0,1,3338,-65006
818,818,0,1,-9527,-57912
819,819,0,1,-24488,-50284
820,820,0,1,-38365,-44832
821,821,0,1,-47917,-43846
822,822,0,1,-50727,-48278
823,823,0,1,-45933,-57221
824,824,0,1,-34674,-67980
825,825,0,1,-19909,-76964
826,826,0,1,-5590,-80825
827,827,0,1,4428,-77648
828,828,0,1,7613,-67645
829,829,0,1,3508,-53085
830,830,0,1,-6186,-37618
831,831,0,1,-18209,-25003
832,832,0,1,-28861,-17874
833,833,0,1,-35264,-16906
834,834,0,1,-36308,-20693
835,835,0,1,-32932,-26420
836,836,0,1,-27690,-30933
837,837,0,1,-23745,-32025
838,838,0,1,-23696,-29325
839,839,0,1,-28603,-24458
840,840,0,1,-37547,-20482
841,841,0,1,-47933,-20735
842,842,0,1,-56273,-27450
843,843,0,1,-59324,-40668
844,844,0,1,-55074,-57820
845,845,0,1,-43414,-74169
846,846,0,1,-26225,-84151
847,847,0,1,-6942,-83109
848,848,0,1,10295,-68963
849,849,0,1,21642,-43325
850,850,0,1,24448,-11518
851,851,0,1,17891,18573
852,852,0,1,3165,38625
853,853,0,1,-16790,42307
854,854,0,1,-37932,27320
855,855,0,1,-56009,-3607
856,856,0,1,-67510,-43254
