Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED
817,817,0,28
818,818,0,-13
819,819,0,-11
820,820,0,-46
821,821,0,23
822,822,0,11
823,823,0,-17
824,824,0,-2
825,825,0,-34
826,826,0,26
827,827,0,17
828,828,0,17
829,829,0,25
830,830,0,76
831,831,0,-22
832,832,0,-4
833,833,0,63
834,834,0,4
835,835,0,61
836,836,0,15
837,837,0,-48
838,838,0,26
839,839,0,50
840,840,0,-30
841,841,0,-23
842,842,0,3
843,843,0,56
844,844,0,2
845,845,0,-41
846,846,0,-24
847,847,0,25
848,848,0,15
849,849,0,57
850,850,0,40
851,851,0,43
852,852,0,48
853,853,0,155
854,854,0,36
855,855,0,-188
856,856,0,-170
857,857,0,-99
858,858,0,67
859,859,0,142
860,860,0,111
861,861,0,-36
862,862,0,-153
863,863,0,-48
864,864,0,-172
865,865,0,-68
866,866,0,62
867,867,0,148
868,868,0,208
869,869,0,162
870,870,0,90
871,871,0,-18
872,872,0,-59
873,873,0,-85
874,874,0,-53
875,875,0,96
876,876,0,43
877,877,0,57
878,878,0,11
879,879,0,39
880,880,0,8
881,881,0,70
882,882,0,87
883,883,0,-132
884,884,0,35
885,885,0,92
886,886,0,100
887,887,0,-27
888,888,0,-49
889,889,0,51
890,890,0,-52
891,891,0,128
892,892,0,54
893,893,0,-54
894,894,0,86
895,895,0,75
896,896,0,-45
897,897,0,-52
898,898,0,64
899,899,0,-52
900,900,0,64
901,901,0,-88
902,902,0,-90
903,903,0,-46
904,904,0,32
905,905,0,94
906,906,0,-10
907,907,0,81
908,908,0,35
909,909,0,1
910,910,0,9
911,911,0,-3
912,912,0,-60
913,913,0,-12
914,914,0,-19
915,915,0,-35
916,916,0,117
917,917,0,132
918,918,0,116
919,919,0,95
920,920,0,72
921,921,0,88
922,922,0,165
923,923,0,176
924,924,0,-121
925,925,0,52
926,926,0,33
927,927,0,-150
928,928,0,-29
929,929,0,-103
930,930,0,-117
931,931,0,3
932,932,0,-42
933,933,0,-60
934,934,0,-106
935,935,0,-51
936,936,0,78
937,937,0,34
938,938,0,29
939,939,0,51
940,940,0,25
941,941,0,139
942,942,0,106
943,943,0,103
944,944,0,95
945,945,0,58
946,946,0,11
947,947,0,-10
948,948,0,12
949,949,0,23
950,950,0,-7
951,951,0,-21
952,952,0,-6
953,953,0,-12
954,954,0,-51
955,955,0,-48
956,956,0,-61
957,957,0,-73
958,958,0,22
959,959,0,25
960,960,0,-20
961,961,0,-115
962,962,0,-63
963,963,0,99
964,964,0,4
965,965,0,-3
966,966,0,46
967,967,0,25
968,968,0,86
969,969,0,93
970,970,0,84
971,971,0,91
972,972,0,118
973,973,0,80
974,974,0,23
975,975,0,-27
976,976,0,15
977,977,0,90
978,978,0,54
979,979,0,-98
980,980,0,-75
981,981,0,-81
982,982,0,-170
983,983,0,31
984,984,0,-24
985,985,0,-67
986,986,0,-1
987,987,0,-14
988,988,0,6
989,989,0,-31
990,990,0,33
991,991,0,115
992,992,0,64
993,993,0,67
994,994,0,113
995,995,0,61
996,996,0,52
997,997,0,66
998,998,0,1
999,999,0,56
1000,1000,0,134
1001,1001,0,-5
1002,1002,0,-24
1003,1003,0,-48
1004,1004,0,-8
1005,1005,0,25
1006,1006,0,-13
1007,1007,0,-67
1008,1008,0,-51
1009,1009,0,15
1010,1010,0,-7
1011,1011,0,61
1012,1012,0,-9
1013,1013,0,-78
1014,1014,0,-4
1015,1015,0,-154
1016,1016,0,43
1017,1017,0,1
1018,1018,0,40
1019,1019,0,92
1020,1020,0,58
1021,1021,0,85
1022,1022,0,75
1023,1023,0,62
1024,1024,0,-22
1025,1025,0,46
1026,1026,0,-12
1027,1027,0,16
1028,1028,0,125
1029,1029,0,11
1030,1030,0,49
1031,1031,0,22
1032,1032,0,18
1033,1033,0,-19
1034,1034,0,-84
1035,1035,0,29
1036,1036,0,65
1037,1037,0,-6
1038,1038,0,-11
1039,1039,0,-53
