Sample in Buffer,Sample in Window,TRIGGER,top_i/c_shift_ram_0_Q[15:0],top_i/waveform_iq_waveform_i[17:0],top_i/lut_decoder_1_x8[17:0],top_i/ddc_branch_0_x7673,top_i/xlslice_1_Dout[35:0],top_i/xlslice_2_Dout[35:0],top_i/unwrap_diff_0_x55,top_i/unwrap_diff_0_x56[31:0],top_i/signal_input_adc_out_2[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED
2242,2242,0,24,-22365,-129149,0,-565750,-1918667,1,-33682798,-2
2243,2243,0,-10,129148,-22365,0,-567088,-1872611,1,-34736986,-11
2244,2244,0,-63,22364,129148,0,-703578,-1527137,1,-35501276,-11
2245,2245,0,4,-129149,22364,0,-759265,-1194068,1,-35632662,-6
2246,2246,0,7,-22365,-129149,0,-606972,-1070187,1,-31192534,-11
2247,2247,0,19,129148,-22365,0,-472276,-1076031,1,-16601764,-9
2248,2248,0,-11,22364,129148,0,-551494,-1008999,1,4743008,-15
2249,2249,0,63,-129149,22364,0,-815231,-1057810,1,18682644,-5
2250,2250,0,-43,-22365,-129149,0,-903352,-1283393,1,19117618,-20
2251,2251,0,-45,129148,-22365,0,-899570,-1595402,1,13328166,-19
2252,2252,0,76,22364,129148,0,-915231,-1909386,1,8170332,-18
2253,2253,0,69,-129149,22364,0,-919650,-2089375,1,5914484,-25
2254,2254,0,24,-22365,-129149,0,-986047,-2282664,1,7326752,-13
2255,2255,0,-320,129148,-22365,0,-1007656,-2333681,1,13414206,-28
2256,2256,0,-45,22364,129148,0,-873266,-2179427,1,25912834,-17
2257,2257,0,-225,-129149,22364,0,-667858,-1890560,1,46147122,-17
2258,2258,0,92,-22365,-129149,0,-344250,-1616624,1,69044942,-31
2259,2259,0,9,129148,-22365,0,-152454,-1482606,1,74358438,-9
2260,2260,0,154,22364,129148,0,97243,-1479511,1,46435143,-19
2261,2261,0,-133,-129149,22364,0,207580,-1709295,1,6026202,-21
2262,2262,0,50,-22365,-129149,0,197912,-2078630,1,-19575576,-12
2263,2263,0,56,129148,-22365,0,172256,-2429511,1,-26011136,-14
2264,2264,0,86,22364,129148,0,-8548,-2701533,1,-20418785,-9
2265,2265,0,-5,-129149,22364,0,-198424,-2731101,1,-8612696,-9
2266,2266,0,-45,-22365,-129149,0,-191281,-2604776,1,7404408,-22
2267,2267,0,52,129148,-22365,0,-63717,-2519746,1,28098725,-28
2268,2268,0,27,22364,129148,0,86448,-2361168,1,53011444,-16
2269,2269,0,30,-129149,22364,0,372737,-2264654,1,75258570,-30
2270,2270,0,-47,-22365,-129149,0,671343,-1912560,1,77241396,-2
2271,2271,0,-49,129148,-22365,0,876441,-1587182,1,47739090,-20
2272,2272,0,-125,22364,129148,0,1055361,-1478950,1,2351090,-21
2273,2273,0,-45,-129149,22364,0,989606,-1593393,1,-35550738,-13
2274,2274,0,49,-22365,-129149,0,683380,-1890491,1,-56815998,-16
2275,2275,0,-32,129148,-22365,0,386007,-2300523,1,-65571714,-15
2276,2276,0,15,22364,129148,0,105756,-2483114,1,-69980980,-19
2277,2277,0,78,-129149,22364,0,-117768,-2375220,1,-76207297,-16
2278,2278,0,42,-22365,-129149,0,-368923,-2216418,1,-85075466,-19
2279,2279,0,-44,129148,-22365,0,-591380,-2071267,1,-90086096,-20
2280,2280,0,-43,22364,129148,0,-960074,-1777275,1,-77989572,-18
2281,2281,0,34,-129149,22364,0,-1199958,-1500443,1,-40561990,-16
2282,2282,0,-114,-22365,-129149,0,-1166098,-1511759,1,15112882,-19
2283,2283,0,50,129148,-22365,0,-994944,-1762601,1,71664428,-22
2284,2284,0,15,22364,129148,0,-681331,-2166857,1,107954608,-19
2285,2285,0,-15,-129149,22364,0,-241794,-2780957,1,111204508,-10
2286,2286,0,7,-22365,-129149,0,181722,-3227730,1,90632189,-24
2287,2287,0,13,129148,-22365,0,592694,-3386402,1,63537158,-22
2288,2288,0,47,22364,129148,0,1009054,-3531652,1,38162616,-11
2289,2289,0,-17,-129149,22364,0,1256189,-3581691,1,14782700,-15
2290,2290,0,27,-22365,-129149,0,1229252,-3649871,1,-9175424,-17
2291,2291,0,-64,129148,-22365,0,1126728,-3650917,1,-36398286,-16
2292,2292,0,25,22364,129148,0,640136,-3381253,1,-66763618,-22
2293,2293,0,9,-129149,22364,0,18137,-3080339,1,-91947001,-6
