Frequency,Attenuation_dB
1.553489028125000000e+07,-5.045116193375644847e-02
1.553506606250000000e+07,-4.896075207430336529e-02
1.553524184375000000e+07,-4.624163484200028568e-02
1.553541762500000000e+07,-4.856936235200465246e-02
1.553559340625000000e+07,-4.608114600309423659e-02
1.553576918750000000e+07,-4.337522674408716278e-02
1.553594496875000000e+07,-4.107041711148552016e-02
1.553612075000000000e+07,-3.944950417008125099e-02
1.553629653125000000e+07,-3.850918304159128835e-02
1.553647231250000000e+07,-3.787113370398013934e-02
1.553664809375000000e+07,-3.684267043988181251e-02
1.553682387500000000e+07,-3.441936701232130996e-02
1.553699965625000000e+07,-2.937016819443224319e-02
1.553717543750000000e+07,-2.026785029843165831e-02
1.553735121875000000e+07,-3.027650800774846218e-02
1.553752700000000000e+07,-3.705246787631355510e-02
1.553770278125000000e+07,-2.840653194999839468e-02
1.553787856250000000e+07,-2.289279765428524696e-02
1.553805434375000000e+07,-2.019018358960324167e-02
1.553823012500000000e+07,-1.954635507434459088e-02
1.553840590625000000e+07,-1.982400250850763906e-02
1.553858168750000000e+07,-1.953416548517291837e-02
1.553875746875000000e+07,-1.689344324420848087e-02
1.553893325000000000e+07,-9.929451659965875948e-03
1.553910903125000000e+07,-3.337996678424636973e-03
1.553928481250000000e+07,-9.228016472934209499e-03
1.553946059375000000e+07,-1.289214519144425003e-02
1.553963637500000000e+07,-1.870827115378956296e-02
1.553981215625000000e+07,-8.061993879942658606e-03
1.553998793750000000e+07,-2.512177280234964560e-03
1.554016371875000000e+07,-8.835954634196037296e-04
1.554033950000000000e+07,-1.302232980681853822e-03
1.554051528125000000e+07,-1.538065361097851842e-03
1.554069106250000000e+07,9.674538317397849644e-04
1.554086684375000000e+07,8.916506739391429417e-03
1.554104262500000000e+07,9.581912225963849783e-03
1.554121840625000000e+07,6.887781983375000291e-03
1.554139418750000000e+07,7.250109851037121224e-03
1.554156996875000000e+07,6.889105867500390501e-03
1.554174575000000000e+07,2.341487989422744425e-03
1.554192153125000000e+07,8.662709802743501220e-03
1.554209731250000000e+07,1.327462675402210288e-02
1.554227309375000000e+07,1.425646207554677296e-02
1.554244887500000000e+07,1.452821236377700373e-02
1.554262465625000000e+07,1.738217306543365578e-02
1.554280043750000000e+07,2.622253608316044843e-02
1.554297621875000000e+07,1.981799549890211204e-02
1.554315200000000000e+07,1.833622895365252109e-02
1.554332778125000000e+07,2.026469412013495383e-02
1.554350356250000000e+07,2.248896678228993681e-02
1.554367934375000000e+07,2.219940515094369696e-02
1.554385512500000000e+07,1.696518025288137194e-02
1.554403090625000000e+07,1.850391999284671518e-02
1.554420668750000000e+07,2.315462847402999583e-02
1.554438246875000000e+07,2.576582494323826147e-02
1.554455825000000000e+07,3.026394049569072417e-02
1.554473403125000000e+07,3.395864993861461706e-02
1.554490981250000000e+07,2.674392788300410453e-02
1.554508559375000000e+07,2.529435853945664198e-02
1.554526137500000000e+07,2.707281817555374365e-02
1.554543715625000000e+07,2.970317464816239761e-02
1.554561293750000000e+07,3.107044668498890744e-02
1.554578871875000000e+07,2.945043987290263052e-02
1.554596450000000000e+07,2.351202723521562607e-02
1.554614028125000000e+07,2.172288148421492107e-02
1.554631606250000000e+07,2.922809834786807212e-02
1.554649184375000000e+07,3.747156108532014029e-02
1.554666762500000000e+07,3.564985513603044498e-02
1.554684340625000000e+07,2.965605063581730136e-02
1.554701918750000000e+07,2.793222623596106416e-02
1.554719496875000000e+07,2.868639906092862457e-02
1.554737075000000000e+07,3.029641003090863607e-02
1.554754653125000000e+07,3.146125835463334242e-02
1.554772231250000000e+07,3.115318447509344765e-02
1.554789809375000000e+07,2.876097927602541335e-02
1.554807387500000000e+07,2.402493200150488534e-02
1.554824965625000000e+07,2.216041915082671288e-02
1.554842543750000000e+07,3.697153938326229461e-02
1.554860121875000000e+07,3.153218783567316580e-02
1.554877700000000000e+07,2.784675066690711978e-02
1.554895278125000000e+07,2.641043968298158878e-02
1.554912856250000000e+07,2.612590830888750909e-02
