Frequency,Attenuation_dB
3.750027000000000000e+06,-8.619029251539176073e+01
3.757527000000000000e+06,-8.616441154098608024e+01
3.765027000000000000e+06,-8.605833993674778526e+01
3.772527000000000000e+06,-8.614129939106163647e+01
3.780027000000000000e+06,-8.612378533161681560e+01
3.787527000000000000e+06,-8.614448811471442013e+01
3.795027000000000000e+06,-8.604190445942771248e+01
3.802527000000000000e+06,-8.619305280441494688e+01
3.810027000000000000e+06,-8.604334665605512100e+01
3.817527000000000000e+06,-8.618134130468538956e+01
3.825027000000000000e+06,-8.606160053795068166e+01
3.832527000000000000e+06,-8.618679923555987443e+01
3.840027000000000000e+06,-8.615419634403735927e+01
3.847527000000000000e+06,-8.627656836152354458e+01
3.855027000000000000e+06,-8.605874180074425794e+01
3.862527000000000000e+06,-8.618855063265075955e+01
3.870027000000000000e+06,-8.588005366433012000e+01
3.877527000000000000e+06,-8.621685045620716892e+01
3.885027000000000000e+06,-8.599362297086804574e+01
3.892527000000000000e+06,-8.605705622252038722e+01
3.900027000000000000e+06,-8.594965439710389887e+01
3.907527000000000000e+06,-8.629014969964573822e+01
3.915027000000000000e+06,-8.597087063859726186e+01
