Sample in Buffer,Sample in Window,TRIGGER,top_i/ddc_branch_1_x7673,top_i/baseband_j[31:0],top_i/baseband_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
486,486,0,1,-404056,153584
487,487,0,1,-411340,140887
488,488,0,1,-408529,123692
489,489,0,1,-397338,104637
490,490,0,1,-381782,86902
491,491,0,1,-366898,73592
492,492,0,1,-357154,67055
493,493,0,1,-355207,68234
494,494,0,1,-361278,76424
495,495,0,1,-373342,89411
496,496,0,1,-388017,103856
497,497,0,1,-401740,116040
498,498,0,1,-411741,122726
499,499,0,1,-416648,121888
500,500,0,1,-416593,113206
501,501,0,1,-412712,98260
502,502,0,1,-406554,80141
503,503,0,1,-399586,62742
504,504,0,1,-392788,49885
505,505,0,1,-386796,44198
506,506,0,1,-382044,46563
507,507,0,1,-378905,56023
508,508,0,1,-377792,70303
509,509,0,1,-379049,86709
510,510,0,1,-382703,103180
511,511,0,1,-388201,118969
512,512,0,1,-394381,134786
513,513,0,1,-399557,152331
514,514,0,1,-401840,173289
515,515,0,1,-399580,198367
516,516,0,1,-391688,226726
517,517,0,1,-377919,256034
518,518,0,1,-358864,283150
519,519,0,1,-335765,305139
520,520,0,1,-310289,320229
521,521,0,1,-284150,328326
522,522,0,1,-258863,330869
523,523,0,1,-235631,330155
524,524,0,1,-215249,328438
525,525,0,1,-198116,327108
526,526,0,1,-184451,326289
527,527,0,1,-174285,325111
528,528,0,1,-167655,322276
529,529,0,1,-164575,316685
530,530,0,1,-165062,308091
531,531,0,1,-169074,297212
532,532,0,1,-176445,285469
533,533,0,1,-186877,274549
534,534,0,1,-199957,265779
535,535,0,1,-215195,259675
536,536,0,1,-232097,255825
537,537,0,1,-250132,252959
538,538,0,1,-268684,249348
539,539,0,1,-286977,243286
540,540,0,1,-303928,233617
541,541,0,1,-318172,220155
542,542,0,1,-328288,203854
543,543,0,1,-333108,186700
544,544,0,1,-332212,171321
545,545,0,1,-326260,160228
546,546,0,1,-317109,154984
547,547,0,1,-307618,155547
548,548,0,1,-300919,159952
549,549,0,1,-299607,164684
550,550,0,1,-304944,165652
551,551,0,1,-316233,159589
552,552,0,1,-330981,145472
553,553,0,1,-345420,125359
554,554,0,1,-355570,104421
555,555,0,1,-358400,89788
556,556,0,1,-352660,88608
557,557,0,1,-339158,105827
558,558,0,1,-320378,142302
559,559,0,1,-299524,194012
560,560,0,1,-279360,252672
561,561,0,1,-261358,307560
562,562,0,1,-245355,348213
563,563,0,1,-229875,367173
564,564,0,1,-213099,361934
565,565,0,1,-193835,335617
566,566,0,1,-172337,296199
567,567,0,1,-150393,254329
568,568,0,1,-130698,220614
569,569,0,1,-115684,202994
570,570,0,1,-106317,204830
571,571,0,1,-101332,224384
572,572,0,1,-97375,255594
573,573,0,1,-89981,289914
574,574,0,1,-75202,318662
575,575,0,1,-51182,335333
576,576,0,1,-19074,337084
577,577,0,1,17075,325186
578,578,0,1,51525,304449
579,579,0,1,78739,281658
580,580,0,1,95189,263612
581,581,0,1,100396,255418
582,582,0,1,96872,259250
583,583,0,1,88822,273999
584,584,0,1,80350,295774
585,585,0,1,73781,319106
586,586,0,1,68911,338437
587,587,0,1,63382,349476
588,588,0,1,54099,350167
589,589,0,1,39105,341062
590,590,0,1,18860,324948
591,591,0,1,-3466,306019
592,592,0,1,-22862,288738
593,593,0,1,-34358,276773
594,594,0,1,-35034,272123
595,595,0,1,-25376,274879
596,596,0,1,-9448,283457
597,597,0,1,6264,295302
598,598,0,1,14774,307816
599,599,0,1,10676,319173
600,600,0,1,-8332,328839
601,601,0,1,-40960,337620
602,602,0,1,-82929,346974
603,603,0,1,-128252,358251
604,604,0,1,-170652,371836
605,605,0,1,-204815,386605
606,606,0,1,-227034,400032
607,607,0,1,-235457,408851
608,608,0,1,-229950,410061
609,609,0,1,-211976,402116
610,610,0,1,-184448,385574
611,611,0,1,-151537,363135
612,612,0,1,-118263,339008
613,613,0,1,-89793,317764
614,614,0,1,-70440,303022
615,615,0,1,-62657,296488
616,616,0,1,-66331,297612
617,617,0,1,-78693,303973
618,618,0,1,-94920,312249
619,619,0,1,-109440,319424
620,620,0,1,-117385,323807
621,621,0,1,-115881,325558
622,622,0,1,-104702,326460
623,623,0,1,-86171,329089
624,624,0,1,-64348,335608
625,625,0,1,-43821,346602
626,626,0,1,-28461,360332
627,627,0,1,-20626,372838
628,628,0,1,-20772,378885
629,629,0,1,-27838,373529
630,630,0,1,-39743,353961
631,631,0,1,-54218,320997
632,632,0,1,-69439,279559
633,633,0,1,-84335,237965
634,634,0,1,-98634,206007
635,635,0,1,-112599,192155
636,636,0,1,-126653,200905
637,637,0,1,-141098,231038
638,638,0,1,-155943,275530
639,639,0,1,-171054,323213
640,640,0,1,-186362,361924
641,641,0,1,-202071,381968
642,642,0,1,-218772,378971
643,643,0,1,-237318,355067
644,644,0,1,-258403,317986
645,645,0,1,-282046,278358
646,646,0,1,-307199,246301
647,647,0,1,-331632,228279
648,648,0,1,-352265,225446
649,649,0,1,-365881,233960
650,650,0,1,-370006,246983
651,651,0,1,-363868,257475
652,652,0,1,-348851,260754
653,653,0,1,-328355,255882
654,654,0,1,-307070,245431
655,655,0,1,-289795,233903
656,656,0,1,-280095,225666
657,657,0,1,-279228,223163
658,658,0,1,-285685,226234
659,659,0,1,-295518,232644
660,660,0,1,-303334,239442
661,661,0,1,-303761,244512
662,662,0,1,-293030,247555
663,663,0,1,-270165,250112
664,664,0,1,-237424,254598
665,665,0,1,-199864,262996
666,666,0,1,-164153,275745
667,667,0,1,-136831,291219
668,668,0,1,-122628,306298
669,669,0,1,-123151,317565
670,670,0,1,-136437,322633
671,671,0,1,-157493,321090
672,672,0,1,-179601,314644
673,673,0,1,-196087,306493
674,674,0,1,-202090,300207
675,675,0,1,-195731,298463
676,676,0,1,-178466,302329
677,677,0,1,-154559,311180
678,678,0,1,-129838,323145
679,679,0,1,-110148,335800
680,680,0,1,-99827,346956
681,681,0,1,-100712,355023
682,682,0,1,-111724,359159
683,683,0,1,-129288,359174
684,684,0,1,-148303,355426
685,685,0,1,-163459,348728
686,686,0,1,-170706,340386
687,687,0,1,-168397,332099
688,688,0,1,-157906,325615
689,689,0,1,-143503,322163
690,690,0,1,-131360,321878
691,691,0,1,-127881,323386
692,692,0,1,-137904,324023
693,693,0,1,-162931,320616
694,694,0,1,-200387,310801
695,695,0,1,-243949,294319
696,696,0,1,-285191,273705
697,697,0,1,-315994,253934
698,698,0,1,-331108,240972
699,699,0,1,-329869,239625
700,700,0,1,-316517,251485
701,701,0,1,-298822,273797
702,702,0,1,-285444,299772
703,703,0,1,-282842,320512
704,704,0,1,-292959,327845
705,705,0,1,-312401,317223
706,706,0,1,-333525,289524
707,707,0,1,-347226,251158
708,708,0,1,-346173,212307
709,709,0,1,-327443,183917
710,710,0,1,-293549,174364
711,711,0,1,-251403,187014
712,712,0,1,-209722,219315
713,713,0,1,-175706,263656
714,714,0,1,-152414,309744
715,715,0,1,-137793,347474
716,716,0,1,-125818,369528
717,717,0,1,-109044,372945
718,718,0,1,-81858,359415
719,719,0,1,-42989,334282
720,720,0,1,3674,304769
721,721,0,1,50196,278105
722,722,0,1,87242,259839
723,723,0,1,107212,252839
724,724,0,1,106753,257052
725,725,0,1,87735,269924
726,726,0,1,56474,287339
727,727,0,1,21538,304765
728,728,0,1,-8887,318436
729,729,0,1,-29219,326203
730,730,0,1,-37574,327899
731,731,0,1,-35666,325176
732,732,0,1,-27498,320755
733,733,0,1,-17851,317320
734,734,0,1,-10884,316525
735,735,0,1,-9410,318326
736,736,0,1,-14834,320937
737,737,0,1,-27455,321556
738,738,0,1,-46824,317504
739,739,0,1,-71916,307446
740,740,0,1,-101016,292085
741,741,0,1,-131556,274211
742,742,0,1,-160187,257822
743,743,0,1,-183269,246699
744,744,0,1,-197802,242967
745,745,0,1,-202513,246277
746,746,0,1,-198692,253774
747,747,0,1,-190299,261164
748,748,0,1,-183243,264321
749,749,0,1,-183805,260992
750,750,0,1,-196742,251689
751,751,0,1,-223702,239638
752,752,0,1,-262360,229617
753,753,0,1,-306745,226055
754,754,0,1,-348694,231265
755,755,0,1,-379958,244461
756,756,0,1,-394263,261857
757,757,0,1,-389004,278134
758,758,0,1,-365661,288402
759,759,0,1,-329252,290179
760,760,0,1,-286789,284395
761,761,0,1,-245362,275124
762,762,0,1,-210377,268056
763,763,0,1,-184461,268267
764,764,0,1,-167189,278221
765,765,0,1,-155718,296702
766,766,0,1,-145916,319126
767,767,0,1,-133677,339229
768,768,0,1,-115970,351375
769,769,0,1,-91488,352819
770,770,0,1,-60686,344832
771,771,0,1,-25319,332478
772,772,0,1,12248,322908
773,773,0,1,49698,322937
774,774,0,1,85326,336492
775,775,0,1,118228,363019
776,776,0,1,148244,397278
777,777,0,1,175599,430568
778,778,0,1,200566,453025
779,779,0,1,223115,456427
780,780,0,1,242765,436522
781,781,0,1,258647,394363
782,782,0,1,269764,336257
783,783,0,1,275276,272430
784,784,0,1,274758,214663
785,785,0,1,268358,173522
786,786,0,1,256727,156012
787,787,0,1,240838,163976
788,788,0,1,221712,193799
789,789,0,1,200320,237462
790,790,0,1,177549,284643
